gene_name,p,f,q
ENSG00000213270,2.4831472203432956e-110,561.6695914509545,7.440750645758686e-106
ENSG00000270388,2.2712517093528764e-75,365.9319718028187,3.402902873537947e-71
ENSG00000198868,1.683774830619886e-74,361.2503839642497,1.6818104266508297e-70
ENSG00000262902,1.0876234749959271e-73,356.8987941855971,8.147659357063239e-70
ENSG00000237973,1.9632335085912536e-69,334.16460366168366,1.1765658416987383e-65
ENSG00000213058,5.171752906200707e-57,269.03937896971615,2.5828595972384034e-53
ENSG00000113369,8.584078658235704e-57,267.9017321105375,3.6745988142004694e-53
ENSG00000232177,1.393506388346133e-56,266.8144491540206,5.219552365848984e-53
ENSG00000233913,3.0568719791427764e-55,259.8962255026362,1.0177685428334811e-51
ENSG00000228349,1.7823142474231083e-47,220.2452394851836,5.340704642403345e-44
ENSG00000240874,4.3445696795444225e-44,203.16859907983505,1.1835002767958965e-40
ENSG00000259045,3.5670785984461425e-43,198.58102559137126,8.907292516869887e-40
ENSG00000230076,3.3088703950538414e-38,173.8262304988183,7.626946260599104e-35
ENSG00000188404,2.9094366089823867e-35,159.28810758164232,6.227233427725515e-32
ENSG00000215030,2.7625369653677204e-32,144.68713451537505,5.518628011149583e-29
ENSG00000227656,6.330587115326268e-30,133.18695194877634,1.1856002681921976e-26
ENSG00000135535,7.13861468024672e-29,128.08115448561898,1.258285817021135e-25
ENSG00000170345,5.027648976177229e-28,123.97685562322653,8.369638976175038e-25
ENSG00000229091,2.2623681449958456e-27,120.82029256828164,3.567992708673711e-24
ENSG00000205940,6.312657577335384e-26,113.85239517466346,9.45793921524274e-23
ENSG00000288336,1.6529233508540644e-25,111.84217137906998,2.35856420039724e-22
ENSG00000234514,1.9434692897088668e-25,111.50420899130167,2.625875344838205e-22
ENSG00000225691,2.0155225406734095e-25,111.42823886503318,2.625875344838205e-22
ENSG00000145708,9.771042141666606e-23,98.56803509392024,1.219955324062666e-19
ENSG00000282049,2.0632017827291516e-22,97.0196829882596,2.472953656779161e-19
ENSG00000169045,3.760568853113519e-21,91.01867374525423,4.3340556032133314e-18
ENSG00000227357,4.370405390545772e-21,90.70854679123255,4.6771141974180025e-18
ENSG00000231021,4.370405390545772e-21,90.70854679123255,4.6771141974180025e-18
ENSG00000100906,6.550579880772894e-21,89.87369027347121,6.7685560733572335e-18
ENSG00000109321,9.51640633680648e-21,89.10361941692867,9.505303862746872e-18
ENSG00000128040,2.925082178619787e-20,86.79030125770655,2.827422176849739e-17
ENSG00000102316,7.106459458792034e-20,84.96373680938461,6.654533052584478e-17
ENSG00000226040,3.710925369882873e-19,81.56788150802713,3.3696326881375846e-16
ENSG00000198712,6.602303652561889e-19,80.38579750479671,5.818765557324029e-16
ENSG00000255508,1.0653819087403697e-18,79.40467774602165,9.121191112972907e-16
ENSG00000121966,1.5971056499961898e-18,78.57500425669689,1.329368633392662e-15
ENSG00000247627,1.6748190361132334e-18,78.4776657290952,1.356377092354947e-15
ENSG00000007062,5.432623087375642e-18,76.06875941404353,4.232132854956694e-15
ENSG00000204287,5.508198943544503e-18,76.04049808102741,4.232132854956694e-15
ENSG00000226109,7.959595350721156e-18,75.28760877971288,5.828621143645421e-15
ENSG00000183691,7.975086497228842e-18,75.2836333332916,5.828621143645421e-15
ENSG00000214263,2.2528009921618713e-17,73.16181939605787,1.6072662316697732e-14
ENSG00000117400,3.843177764027413e-17,72.07155707318653,2.678158644164684e-14
ENSG00000185905,5.141005812476182e-17,71.47798632453949,3.501141799337473e-14
ENSG00000240761,7.901731186801873e-17,70.60148854310837,5.2616750002781806e-14
ENSG00000239830,1.0600122103903839e-16,70.00270170092553,6.905057800945186e-14
ENSG00000076662,1.6524353930709106e-16,69.09824786903205,1.0535154585823369e-13
ENSG00000244193,1.7368292058516352e-16,68.99680636842183,1.0842518156946718e-13
ENSG00000168497,3.465385616748177e-16,67.59074281376832,2.1191893878746758e-13
ENSG00000242675,5.876929983679468e-16,66.51643895264408,3.522044139219105e-13
ENSG00000288133,3.04018994225846e-15,63.17881913119998,1.7862606199955834e-12
ENSG00000081985,4.183361552234492e-15,62.53146965904257,2.410662094475126e-12
ENSG00000171476,2.6629384291155244e-14,58.78352183399487,1.5055650948763526e-11
ENSG00000102804,3.261403736225115e-14,58.37362371440877,1.8097770917775107e-11
ENSG00000164308,4.4227617697063324e-14,57.75796531041111,2.409601025986368e-11
ENSG00000257956,5.4464036927754397e-14,57.33733817971326,2.914312261678858e-11
ENSG00000117450,1.0092512438357864e-13,56.091855958551484,5.305651495006901e-11
ENSG00000274752,1.4035757484444355e-13,55.42639225992363,7.128499542735172e-11
ENSG00000282208,1.4035757484444355e-13,55.42639225992363,7.128499542735172e-11
ENSG00000235941,6.434859049547439e-13,52.35844284676543,3.2136758569948165e-10
ENSG00000204592,1.0779295566136664e-12,51.32068996920202,5.295108059660412e-10
ENSG00000070831,1.1431083243290895e-12,51.20264870690211,5.52471628040664e-10
ENSG00000104824,1.2302490998423272e-12,51.0549537135318,5.851494329646878e-10
ENSG00000225201,1.5300490539313265e-12,50.616624036676534,7.053526138623415e-10
ENSG00000236632,1.5300490539313265e-12,50.616624036676534,7.053526138623415e-10
ENSG00000283855,3.5614982974974207e-12,48.91997146720748,1.6169741891592457e-09
ENSG00000146457,4.508421708859679e-12,48.44694635642705,2.0163411418803025e-09
ENSG00000127837,5.867659543879605e-12,47.91848452612877,2.5856532092992995e-09
ENSG00000163092,6.503208545156585e-12,47.71230594068796,2.8241832471828564e-09
ENSG00000224114,6.635223923163476e-12,47.6720192363683,2.840349783679908e-09
ENSG00000168255,6.990243744191693e-12,47.56753793844728,2.950178222460621e-09
ENSG00000164548,1.0974118011162235e-11,46.6638489856785,4.5672145306177274e-09
ENSG00000267645,1.5289531630120994e-11,45.99984162625022,6.2760385657065155e-09
ENSG00000250722,1.8111337099448867e-11,45.6608702514207,7.2580948817699005e-09
ENSG00000184226,1.8166431374361506e-11,45.65479230982564,7.2580948817699005e-09
ENSG00000228753,2.059133141002017e-11,45.404098848333774,8.118674285542822e-09
ENSG00000182718,2.1430929421671215e-11,45.32414756905109,8.33997143013478e-09
ENSG00000157514,2.2336680874459174e-11,45.24134154076945,8.581008235938066e-09
ENSG00000042980,2.4382783512785755e-11,45.066034037140625,9.24848237924842e-09
ENSG00000273323,4.8882612920177904e-11,43.67583538794101,1.7437708287537272e-08
ENSG00000235559,4.8882612920177904e-11,43.67583538794101,1.7437708287537272e-08
ENSG00000272603,4.8882612920177904e-11,43.67583538794101,1.7437708287537272e-08
ENSG00000230511,4.8882612920177904e-11,43.67583538794101,1.7437708287537272e-08
ENSG00000273083,4.8882612920177904e-11,43.67583538794101,1.7437708287537272e-08
ENSG00000166902,5.400339284636355e-11,43.47685926582514,1.903778431342687e-08
ENSG00000288145,7.083075945812888e-11,42.93530136854003,2.439590468003255e-08
ENSG00000132507,7.083075945812888e-11,42.93530136854003,2.439590468003255e-08
ENSG00000163568,7.983200849821045e-11,42.69653980411911,2.6580265271650896e-08
ENSG00000248655,8.004173432033781e-11,42.691304107007056,2.6580265271650896e-08
ENSG00000230574,8.004173432033781e-11,42.691304107007056,2.6580265271650896e-08
ENSG00000282947,8.072097913299622e-11,42.674440964856345,2.6580265271650896e-08
ENSG00000224669,8.686601081988902e-11,42.52804147879551,2.8292826241499722e-08
ENSG00000136929,9.180522297016179e-11,42.41770447242831,2.9580037702160193e-08
ENSG00000143337,1.1088132331939538e-10,42.0411242809189,3.534637077942215e-08
ENSG00000141294,1.2298766219883777e-10,41.83448573943931,3.879289787145446e-08
ENSG00000213366,1.3445262943927915e-10,41.65678672539353,4.1967427511958335e-08
ENSG00000248923,1.7709971683369955e-10,41.10770190002442,5.4176785246397924e-08
ENSG00000198502,1.7718421338718494e-10,41.10675147969457,5.4176785246397924e-08
ENSG00000171954,2.2101197079776352e-10,40.66645234375122,6.689518893893922e-08
ENSG00000198886,2.341906558446977e-10,40.5511068788106,7.017523002386366e-08
ENSG00000186310,2.455264411485325e-10,40.456980080458834,7.284356246550275e-08
ENSG00000225840,2.797417902924233e-10,40.19723726303644,8.218100731482808e-08
ENSG00000120833,3.093079319699978e-10,39.99725350569529,8.998458428622313e-08
ENSG00000120696,3.682455419733428e-10,39.650186511739676,1.0610074678106938e-07
ENSG00000228964,6.119380007180398e-10,38.640255476629214,1.746354494430101e-07
ENSG00000174748,6.459480361822203e-10,38.53276342202778,1.8260219720943616e-07
ENSG00000130066,6.819453285847676e-10,38.42500081620208,1.909765586078744e-07
ENSG00000232804,8.285973809456133e-10,38.03804138587138,2.298974122225491e-07
ENSG00000157404,8.549251905543182e-10,37.97591635755914,2.3502599389871694e-07
ENSG00000275896,9.225633279057651e-10,37.824706561383344,2.51314637460875e-07
ENSG00000143443,9.504856511686223e-10,37.765499920303604,2.5658831114655646e-07
ENSG00000268433,1.1714858515603294e-09,37.35049391993056,3.134247637679042e-07
ENSG00000155926,1.2856167550688902e-09,37.16600370278522,3.409159828817637e-07
ENSG00000132465,1.6464182641211336e-09,36.67529477727198,4.2988462893914957e-07
ENSG00000148935,1.6498158627733089e-09,36.6712063869446,4.2988462893914957e-07
ENSG00000228080,1.7942594360215118e-09,36.50477433661239,4.634912413826259e-07
ENSG00000235695,2.036989390266122e-09,36.25322731286302,5.216956160626013e-07
ENSG00000138722,2.226711970904739e-09,36.07671799772949,5.654527475267839e-07
ENSG00000146285,2.7491224256536547e-09,35.65912808481644,6.922475082748887e-07
ENSG00000237550,2.9788064015693825e-09,35.500192153350866,7.394162708885594e-07
ENSG00000117748,2.9857957209249353e-09,35.49555054601691,7.394162708885594e-07
ENSG00000198865,4.308333158524019e-09,34.769625887918835,1.0581901893046904e-06
ENSG00000100650,4.357124481528969e-09,34.74734194160496,1.0614734560082566e-06
ENSG00000005893,4.603342274114745e-09,34.638574083247164,1.112412510031035e-06
ENSG00000164111,4.929092231213062e-09,34.503308086864536,1.1816019896663953e-06
ENSG00000154277,5.0437799562426615e-09,34.457808482608414,1.1994989395937409e-06
ENSG00000140022,5.55665285106883e-09,34.266270443589455,1.3110638006478542e-06
ENSG00000278270,5.745610600608262e-09,34.20013996484079,1.3450564191189576e-06
ENSG00000109929,6.301145433239721e-09,34.01764725109396,1.4636730457909166e-06
ENSG00000172349,6.498969072292336e-09,33.95653468537483,1.4980123711633835e-06
ENSG00000196139,6.9719814549164044e-09,33.81765741146502,1.5947742312715272e-06
ENSG00000130303,7.284449357332236e-09,33.731004689230595,1.6536251893368215e-06
ENSG00000198730,8.044806547324217e-09,33.53480640145323,1.8125009638388733e-06
ENSG00000144120,8.107888008692998e-09,33.51937362681316,1.8130810759737738e-06
ENSG00000167552,9.334194672974284e-09,33.24113123238068,2.071845506486477e-06
