gene_name,p,f,q
ENSG00000274646,0.0,3370.094799379378,0.0
ENSG00000248527,3.2573216583722855e-230,1148.283967540203,3.341197691075372e-226
ENSG00000232126,1.3699399779743567e-200,987.4109980627295,9.368106216047976e-197
ENSG00000244734,2.532483679937596e-147,707.3684448043105,1.2988475673479945e-143
ENSG00000188536,1.762226173249647e-120,570.6303806773054,7.230413988843301e-117
ENSG00000206172,1.1448466232117968e-116,551.4424285903057,3.9144214125316683e-113
ENSG00000237022,3.18297918393321e-115,544.1899597768246,9.328402565484257e-112
ENSG00000198888,4.127989410005246e-114,538.6064122081867,1.0585712843282202e-110
ENSG00000130522,3.0664319747537004e-113,534.2404895563585,6.989761329119129e-110
ENSG00000198763,1.5600032696145928e-109,515.6930376354135,3.200346707614337e-106
ENSG00000087299,7.044412158313434e-109,512.4224669135286,1.3137828675254554e-105
ENSG00000125740,1.4372726805665053e-105,495.9153352933551,2.4571374201518214e-102
ENSG00000206208,2.3307552355574565e-99,465.060331413538,3.6781110505739397e-96
ENSG00000234745,3.291423376636732e-98,459.3637265077575,4.8231107551216115e-95
ENSG00000113327,1.2057986086817363e-96,451.6245228690659,1.6491305638070547e-93
ENSG00000198727,3.62857194433688e-96,449.25870407246674,4.652509589879444e-93
ENSG00000115947,4.3956901907046564e-95,443.905561890809,5.3045637801356485e-92
ENSG00000198886,6.778873681211713e-95,442.97637828493464,7.726032976114349e-92
ENSG00000273686,1.3445044135412772e-93,436.5722587267489,1.4517109496736473e-90
ENSG00000009413,1.7199606635694782e-92,431.11347520765105,1.7642496506563924e-89
ENSG00000271793,1.9937011665879158e-92,430.79731963079234,1.947656163454814e-89
ENSG00000143951,2.2820829515312607e-91,425.58144777150466,2.1280423523029006e-88
ENSG00000282813,6.128795372835904e-89,413.6307624509778,5.46661900320559e-86
ENSG00000173285,1.3660796107782708e-86,402.1004842004229,1.1677134672965094e-83
ENSG00000270672,2.1707952667291396e-86,401.11379196721515,1.7128409575749347e-83
ENSG00000282017,2.1707952667291396e-86,401.11379196721515,1.7128409575749347e-83
ENSG00000198899,1.0171267985933904e-85,397.82460030380196,7.728280101164224e-83
ENSG00000153234,2.457879420878926e-83,386.1525477290967,1.800835582833256e-80
ENSG00000198840,3.1376301328394017e-82,380.74315575706163,2.2196028336275975e-79
ENSG00000197728,8.703577029597363e-82,378.5774329399635,5.951796092072996e-79
ENSG00000177606,9.290992181496093e-82,378.4388229657836,6.148538858173946e-79
ENSG00000198786,3.2698394612586086e-80,370.8864207979791,2.096273642116261e-77
ENSG00000204525,6.015362121613509e-80,369.594492679779,3.7395501189363985e-77
ENSG00000132002,1.6918827496121736e-78,362.5276507399829,1.0208521943615807e-75
ENSG00000188596,1.1908630205632953e-76,353.5300784133786,6.98015853338743e-74
ENSG00000115523,4.297357938336619e-76,350.8184015605502,2.4488971695826596e-73
ENSG00000212907,7.460939452228186e-74,339.9343205188805,4.136788455742195e-71
ENSG00000206503,1.0556375716412116e-72,334.34972443764804,5.699053890057752e-70
ENSG00000198804,1.2605225422934692e-72,333.97604775482665,6.630671783371928e-70
ENSG00000214787,7.807193123585157e-72,330.13593755009765,4.0041141732587377e-69
ENSG00000204138,7.89273625464623e-71,325.2676091169424,3.882484773435378e-68
ENSG00000186329,7.948543040910839e-71,325.25278862191715,3.882484773435378e-68
ENSG00000231925,8.654716127524839e-70,320.23250036173283,4.1291046827016755e-67
ENSG00000089041,1.261272176400104e-69,319.44106273792585,5.880681522465486e-67
ENSG00000140279,5.938809772703996e-68,311.3521586714718,2.7074373886005e-65
ENSG00000171223,7.380523102875654e-68,310.89609914348245,3.2915528577281314e-65
ENSG00000198938,1.1313699710690412e-66,305.17097836954383,4.938309565208804e-64
ENSG00000064313,1.6081670796369396e-66,304.43383640741143,6.873239091406628e-64
ENSG00000162924,3.3365854868240914e-66,302.904257046354,1.396939821677474e-63
ENSG00000197808,2.5972067440963926e-65,298.60580028056967,1.0656339271027497e-62
ENSG00000181704,3.756822608138116e-65,297.832909521475,1.5112003099206559e-62
ENSG00000198712,1.4206712944619722e-64,295.0487419099031,5.604821462670646e-62
ENSG00000054654,6.38300747924323e-64,291.90538741791846,2.4707056308806577e-61
ENSG00000105392,1.1935935013143306e-62,285.7836620765062,4.5345501258265724e-60
ENSG00000225972,1.3247721419759597e-62,285.5658117493112,4.94140008957033e-60
ENSG00000141556,1.763130674781203e-62,284.9686403415234,6.459040320202924e-60
ENSG00000079482,2.927590949243895e-62,283.9094311815232,1.0536759355041844e-59
ENSG00000179820,1.1648307923714537e-60,276.2210255609193,4.1200868457759265e-58
ENSG00000223532,5.357833939324114e-60,273.0389764428624,1.8629824282243082e-57
ENSG00000165805,9.689867113701754e-60,271.80390186249195,3.3131270639598577e-57
ENSG00000117616,1.048792718213653e-59,271.638950898848,3.527210264615261e-57
ENSG00000169609,1.0804848531992474e-59,271.5769055787901,3.575184961835897e-57
ENSG00000118503,1.3622937680223933e-59,271.09390736815834,4.4361042303141903e-57
ENSG00000173812,2.281262792788157e-59,270.0196050689181,7.312516592820163e-57
ENSG00000029363,2.364293662618001e-59,269.94511774910455,7.462074536708968e-57
ENSG00000119801,5.660611542124132e-59,268.12636908080435,1.7595067543435843e-56
ENSG00000122417,2.6706028299635964e-58,264.89600175098496,8.177226426373609e-56
ENSG00000225890,4.436651849389819e-58,263.83944065317314,1.3384987160328255e-55
ENSG00000110848,1.2920240577861674e-57,261.61517621359087,3.83019860930139e-55
ENSG00000125347,1.3069164155549465e-57,261.59133286293735,3.83019860930139e-55
ENSG00000167625,4.2944593429802457e-57,259.1168132178431,1.2408568087498554e-54
ENSG00000197563,1.005061595967451e-56,257.34880743989277,2.863727589065591e-54
ENSG00000020633,2.0253048756418012e-56,255.8923493917496,5.691661578601583e-54
ENSG00000135046,4.707464655272422e-56,254.13964391742311,1.305049154093429e-53
ENSG00000206435,5.005191001552458e-56,254.01222516180601,1.3690865786246489e-53
ENSG00000163864,1.872992897100762e-55,251.27105882630602,5.055848590002912e-53
ENSG00000152518,1.9095557985614847e-55,251.2309102588947,5.087602234738813e-53
ENSG00000278229,3.397710519635214e-55,250.03439164646468,8.936414270553385e-53
ENSG00000161547,3.482815802489023e-55,249.98302732464458,9.04429951747624e-53
ENSG00000173517,4.2618153679943714e-55,249.5639501730794,1.0928892784300565e-52
ENSG00000150401,3.9325595941831695e-54,244.9524608447404,9.960056799341694e-52
ENSG00000149557,5.961488431474333e-54,244.08953353294368,1.4914626240450724e-51
ENSG00000072062,6.883378537275031e-54,243.79131696648844,1.7013555505084007e-51
ENSG00000197019,1.0414776632131928e-53,242.93253682701967,2.5435612215260298e-51
