gene_name,p,f,q
ENSG00000213741,0.0,1943.8952584333792,0.0
ENSG00000234794,0.0,2059.1497722941335,0.0
ENSG00000206503,0.0,1628.550184288664,0.0
ENSG00000170345,0.0,2502.0882366255814,0.0
ENSG00000120129,0.0,1725.605786415838,0.0
ENSG00000177606,0.0,1982.6926982832292,0.0
ENSG00000226260,0.0,2063.517502669143,0.0
ENSG00000233913,0.0,7153.3129652796215,0.0
ENSG00000204287,0.0,2513.997864782976,0.0
ENSG00000277263,0.0,1824.1494936672493,0.0
ENSG00000198502,0.0,5186.476996097439,0.0
ENSG00000233841,3.4691799164492974e-301,1497.0384653740614,5.744383744987295e-298
ENSG00000101200,2.3807274259775658e-264,1298.9041885536499,3.6388503041672484e-261
ENSG00000225691,6.772408093311008e-254,1243.4135020144465,9.611982058149267e-251
ENSG00000228987,3.0915100649934656e-250,1224.0655419665495,4.0952203327613445e-247
ENSG00000196126,1.689826346066855e-238,1162.273231137663,2.0985530935217756e-235
ENSG00000198520,4.680692189216832e-230,1118.0786211691109,5.470903164690497e-227
ENSG00000198034,2.0260766708954053e-222,1078.2834376044507,2.236563525038428e-219
ENSG00000168014,9.786497090299932e-220,1064.3368722162675,1.0234615641276823e-216
ENSG00000129824,4.542561667080869e-203,978.2008641964204,4.5130350162448436e-200
ENSG00000204257,1.8505316828369754e-194,934.0174866114869,1.750955454189081e-191
ENSG00000204525,2.506732788164641e-192,923.1107466189098,2.2640354773105192e-189
ENSG00000167552,1.1236669754402177e-181,868.810812486654,9.707505566085708e-179
ENSG00000026025,3.223970970510926e-180,861.4046582185683,2.669179299335504e-177
ENSG00000076662,1.0000418514452589e-178,853.8326911340879,7.948332635286917e-176
ENSG00000100097,3.4805846333864644e-178,851.084758752842,2.6599698717457324e-175
ENSG00000130303,1.9460282570412053e-171,816.9220432031782,1.4321326469410647e-168
ENSG00000214389,3.055191320912101e-171,815.9321887361418,2.168094698090123e-168
ENSG00000285434,4.0912142823125297e-166,790.064514430089,2.803187165156895e-163
ENSG00000008988,8.463751650617503e-164,778.4049221686016,5.605824843258993e-161
ENSG00000244363,8.641660840173061e-162,768.3017683865259,5.539025835298023e-159
ENSG00000198763,4.180118384322067e-160,759.839012121835,2.5955922592649835e-157
ENSG00000223532,1.7457403450774277e-157,746.6891189707895,1.051147292626924e-154
ENSG00000125740,2.255494053701448e-157,746.1312888107412,1.3181372602072873e-154
ENSG00000234745,7.658285890954093e-156,738.4594820454312,4.347718304378795e-153
ENSG00000105143,9.984648046754557e-151,712.8735342041902,5.5109710191392515e-148
ENSG00000288145,9.161377334200878e-149,703.0761952436438,4.919907233258687e-146
ENSG00000124614,8.440514128699496e-146,688.2986221842108,4.413500414138394e-143
ENSG00000105373,3.2316401878252715e-145,685.3950134185758,1.6464792444125165e-142
ENSG00000225890,4.793311131496842e-144,679.5652706677668,2.3810773045710565e-141
ENSG00000156508,4.111924256711975e-143,674.9219665029924,1.9927789019723646e-140
ENSG00000184515,1.561575322548015e-141,667.0701443719206,7.387738490245013e-139
ENSG00000224608,1.2630611354158277e-136,642.7178403030772,5.836517386212209e-134
ENSG00000104894,1.3609123043979854e-136,642.5572713133312,6.145756247360902e-134
ENSG00000228964,7.281607495663465e-135,633.9974251907461,3.2152342430851784e-132
ENSG00000169020,2.2078932392743337e-133,626.6657714449057,9.537138840082828e-131
ENSG00000163682,1.5589305280477334e-129,607.6506016459047,6.590627572831588e-127
ENSG00000100129,9.370270430875433e-129,603.8073930996644,3.87890153044781e-126
ENSG00000227715,1.0408274519371137e-128,603.5823247062672,4.2206615244878465e-126
ENSG00000235657,1.8148635800276623e-128,602.3913145797649,7.21226786702993e-126
ENSG00000034510,4.71825745273345e-128,600.3450462352203,1.838270109525758e-125
ENSG00000133169,8.291182812741312e-120,559.7856699831144,3.168188509407113e-117
ENSG00000283391,5.083077048244888e-119,555.9215840549319,1.905674357521244e-116
ENSG00000089157,6.379159896666649e-119,555.437724102732,2.3472945767919686e-116
ENSG00000122406,9.92081074946422e-118,549.5936174055389,3.584118356215528e-115
ENSG00000231286,4.251892956604833e-116,541.597118697398,1.508662732995322e-113
ENSG00000157514,5.203660666131719e-115,536.2717157958826,1.8139778497550397e-112
ENSG00000236418,4.447132930430982e-114,531.7124900862482,1.5235264022010968e-111
ENSG00000228299,6.552675610811436e-114,530.8890562176949,2.2068078709631056e-111
ENSG00000010404,7.68988421569543e-114,530.5491121701939,2.54663332276447e-111
ENSG00000167658,1.2136993564329468e-110,514.9207426742474,3.953476428249616e-108
ENSG00000167642,3.2198258318066356e-110,512.8523229185923,1.0319022464193201e-107
ENSG00000198888,1.420358870373355e-109,509.706802075268,4.4797667863997715e-107
ENSG00000178429,3.801197346344295e-109,507.62110800234154,1.1801529886228303e-106
ENSG00000284841,7.90209790218906e-109,506.070925391719,2.415610543330717e-106
ENSG00000184557,5.557066434087879e-107,497.0672429641903,1.6730137885655476e-104
ENSG00000198832,8.176797331658685e-106,491.3800478614943,2.424969596717285e-103
ENSG00000224859,1.9025474690867978e-105,489.5946539175619,5.559355619228628e-103
ENSG00000273748,1.391378077550742e-104,485.3895536930837,4.006765565352644e-102
ENSG00000008282,2.2332428991650823e-103,479.52665046612026,6.339219486630027e-101
ENSG00000173214,4.457203279555961e-103,478.0676183709243,1.2473891431658725e-100
ENSG00000125347,2.879339427257631e-102,474.1300314701884,7.946177002723489e-100
ENSG00000116793,5.28911084863036e-102,472.8469956722599,1.4396525008532229e-99
ENSG00000133112,5.786308027581661e-102,472.6574455843082,1.5537018987574e-99
ENSG00000063177,1.2291404553851274e-100,466.2125712930256,3.256402779800331e-98
ENSG00000155366,1.4075426803197144e-100,465.92686150465914,3.679983297099043e-98
ENSG00000232346,6.043450984841138e-100,462.855716849627,1.5595242995947198e-97
ENSG00000126264,6.914839662905963e-100,462.57188216996326,1.761511078230019e-97
ENSG00000158050,4.392614769773943e-99,458.67688953173104,1.1048260186760537e-96
ENSG00000130255,5.915034290504578e-99,458.05015540539216,1.4691466419040747e-96
ENSG00000156482,6.568741227715655e-99,457.8293889934415,1.611368990058149e-96
ENSG00000196531,2.3063075276418284e-98,455.18483152945805,5.588576899297943e-96
ENSG00000136826,3.072825952843651e-98,454.5807213078705,7.356271287108837e-96
ENSG00000198727,7.047850593863027e-98,452.8333196262292,1.667152277381647e-95
ENSG00000137154,1.5437064673218562e-97,451.1832425241339,3.608640883021798e-95
ENSG00000188404,2.408157353384588e-97,450.247540871335,5.542972116556599e-95
ENSG00000164035,2.4269681637666035e-97,450.2311688841435,5.542972116556599e-95
ENSG00000152518,1.197360142432683e-96,446.8735488186849,2.7035847761519787e-94
ENSG00000130592,1.5758109845804837e-96,446.2959043026984,3.518130816136428e-94
ENSG00000171843,2.4465246090453814e-96,445.37079469769174,5.401382664636859e-94
ENSG00000172889,3.9083482449550175e-94,434.7083416199459,8.533942816181999e-92
ENSG00000169567,5.377773989230502e-94,434.0380673123563,1.1614822735435877e-91
ENSG00000164111,7.012277847720276e-94,433.48076105041946,1.4982146326258267e-91
ENSG00000276766,6.170582913678722e-93,428.9153333790682,1.3043561967531511e-90
ENSG00000120279,3.69029766852011e-92,425.16257570431645,7.71854891299943e-90
ENSG00000142534,5.1227636511249154e-92,424.4745536114411,1.0603053515401256e-89
ENSG00000288199,4.529894582191617e-91,419.903850183828,9.279278901870868e-89
ENSG00000170906,8.842115403687796e-91,418.5017917933851,1.7927840109313927e-88
ENSG00000213885,3.1983882519487365e-89,410.9837307331224,6.419391370325393e-87
ENSG00000224398,3.404482260336078e-89,410.85295679512495,6.7647062512877875e-87
ENSG00000228080,1.3596524351650151e-87,403.1346782639234,2.674880582844441e-85
ENSG00000184619,1.724747844000378e-87,402.6370541068971,3.3598764372830894e-85
ENSG00000089327,2.4675695505407204e-87,401.8877974289914,4.760253103810109e-85
ENSG00000167996,2.659805352345098e-87,401.7308655437511,5.0817627260670285e-85
ENSG00000160789,1.3021593348605902e-86,398.40890428450535,2.464181522255231e-84
ENSG00000256618,1.7044801782253665e-86,397.84594389938184,3.1950963340884936e-84
ENSG00000068697,3.0117421804375007e-86,396.65577784145,5.59283337619562e-84
ENSG00000167526,9.512766158062868e-86,394.251720705762,1.7501728107473072e-83
ENSG00000223551,1.0525425512123544e-85,394.04030412225825,1.918717476384356e-83
ENSG00000140988,1.1196922626178004e-85,393.9110540353587,2.0225713871105177e-83
ENSG00000280548,1.3691377537680227e-85,393.49073259863934,2.450879924988343e-83
ENSG00000184905,1.9714269339501616e-85,392.72888531370586,3.497522605141939e-83
ENSG00000137193,1.3029325025333078e-84,388.78377466945074,2.2910857367554714e-82
ENSG00000165092,1.6883883479569578e-84,388.24252331854206,2.9428312696407674e-82
ENSG00000230700,6.21100212786737e-84,385.52268264910396,1.0731531502671707e-81
ENSG00000133134,1.4061990248506388e-83,383.8168517457149,2.408721950326051e-81
ENSG00000204435,5.2195791141543914e-83,381.0797452006014,8.864362136602373e-81
