gene_name,p,f,q
ENSG00000121858,0.0,2086.315523015516,0.0
ENSG00000124491,0.0,1621.4205970609144,0.0
ENSG00000164587,0.0,2552.6486201470993,0.0
ENSG00000109743,0.0,1552.8475617661363,0.0
ENSG00000227715,0.0,5746.874664458341,0.0
ENSG00000132205,0.0,1850.4067080244374,0.0
ENSG00000099622,0.0,1661.943170588082,0.0
ENSG00000002549,0.0,2437.033612940956,0.0
ENSG00000134321,0.0,1909.9129116093895,0.0
ENSG00000156508,0.0,1975.3899881850105,0.0
ENSG00000165949,0.0,8087.707114922313,0.0
ENSG00000118985,0.0,1669.159927690526,0.0
ENSG00000122862,0.0,2146.3155378409356,0.0
ENSG00000273594,0.0,1510.7112773910183,0.0
ENSG00000197956,0.0,1750.1804168669453,0.0
ENSG00000197249,0.0,2506.096274262156,0.0
ENSG00000100242,0.0,2771.978902727932,0.0
ENSG00000143947,0.0,1851.1740992603322,0.0
ENSG00000183019,0.0,2161.7223870191556,0.0
ENSG00000204642,0.0,1945.8825978188893,0.0
ENSG00000211592,0.0,2577.613094203889,0.0
ENSG00000122406,0.0,2194.3014916429706,0.0
ENSG00000126709,0.0,5107.745100121333,0.0
ENSG00000233841,0.0,2613.480060089109,0.0
ENSG00000174444,0.0,1740.960412359851,0.0
ENSG00000085265,0.0,3352.8505968915374,0.0
ENSG00000111331,0.0,3997.456171692679,0.0
ENSG00000111335,0.0,3815.0444143384807,0.0
ENSG00000163563,0.0,3578.7006001437367,0.0
ENSG00000196154,0.0,1601.774850517913,0.0
ENSG00000239830,0.0,3511.149219716462,0.0
ENSG00000179218,0.0,1591.3464611020759,0.0
ENSG00000204525,0.0,2547.202811100325,0.0
ENSG00000007264,0.0,1584.8715189918473,0.0
ENSG00000147403,0.0,2353.8530869608558,0.0
ENSG00000147604,0.0,2958.1724046364648,0.0
ENSG00000216490,0.0,3691.300958958651,0.0
ENSG00000239264,0.0,2453.046808899251,0.0
ENSG00000115523,0.0,2838.8868772983838,0.0
ENSG00000229074,0.0,1790.6218004244513,0.0
ENSG00000115415,0.0,2854.03988679152,0.0
ENSG00000136869,0.0,1532.7340244364702,0.0
