gene_name,p,f,q
ENSG00000244694,0.0,2246.774827959943,0.0
ENSG00000288335,0.0,3187.45441055633,0.0
ENSG00000275031,0.0,3474.061930775294,0.0
ENSG00000187688,0.0,4466.542067463867,0.0
ENSG00000164932,0.0,22584.216611029937,0.0
ENSG00000127863,0.0,3726.384878623061,0.0
ENSG00000127920,0.0,3753.4390872609733,0.0
ENSG00000147649,0.0,1607.8965577171161,0.0
ENSG00000102804,0.0,2828.396903067599,0.0
ENSG00000105855,0.0,1607.6791462434849,0.0
ENSG00000107438,0.0,4148.120339117374,0.0
ENSG00000178695,0.0,3099.575569959667,0.0
ENSG00000175745,0.0,3043.6309590185724,0.0
ENSG00000196611,0.0,2994.311895223153,0.0
ENSG00000041982,0.0,3277.1537777798553,0.0
ENSG00000042493,0.0,3648.623720311955,0.0
ENSG00000105664,0.0,3028.1930718222225,0.0
ENSG00000167969,0.0,2116.665355856543,0.0
ENSG00000152518,0.0,3294.0572061540374,0.0
ENSG00000151012,0.0,2072.378925287509,0.0
ENSG00000120437,0.0,2296.0790764383087,0.0
ENSG00000112769,0.0,13925.58431274607,0.0
ENSG00000225691,0.0,22562.562059463668,0.0
ENSG00000116016,0.0,2364.2199906684677,0.0
ENSG00000116132,0.0,4353.746540615112,0.0
ENSG00000187514,0.0,5533.131265362124,0.0
ENSG00000198542,0.0,1828.3450771177895,0.0
ENSG00000052802,0.0,1696.5218989503733,0.0
ENSG00000177363,0.0,2941.7279549386767,0.0
ENSG00000159674,0.0,19984.189126169807,0.0
ENSG00000073756,0.0,2802.7216157475673,0.0
ENSG00000136960,0.0,3161.9654067292768,0.0
ENSG00000163083,0.0,1661.2474306524766,0.0
ENSG00000154175,0.0,2019.26078736242,0.0
ENSG00000134824,0.0,1788.5594844418338,0.0
ENSG00000067715,0.0,3676.4318736476207,0.0
ENSG00000150636,0.0,1802.5882901873222,0.0
ENSG00000162631,0.0,2181.018476022579,0.0
ENSG00000129116,0.0,3399.60292048196,0.0
ENSG00000129226,0.0,3851.348405352795,0.0
ENSG00000130303,0.0,1885.3315230472642,0.0
ENSG00000206450,0.0,3367.66836319474,0.0
ENSG00000206452,0.0,7050.31717553011,0.0
ENSG00000119938,0.0,1882.3857002440593,0.0
ENSG00000120708,0.0,2784.1186595284234,0.0
ENSG00000185960,0.0,3278.4695731472443,0.0
ENSG00000044574,0.0,2103.474763623028,0.0
ENSG00000120875,0.0,2175.7915506684317,0.0
ENSG00000181019,0.0,2816.9798963534763,0.0
ENSG00000145604,0.0,2195.510404808249,0.0
ENSG00000145681,0.0,2247.0563162587864,0.0
ENSG00000079819,0.0,3054.895728215599,0.0
ENSG00000273686,0.0,12478.485515916136,0.0
ENSG00000169439,0.0,2793.1176047657395,0.0
ENSG00000140416,0.0,4074.5607004293297,0.0
ENSG00000107984,0.0,3056.7915375416424,0.0
ENSG00000162614,0.0,1871.6356278940373,0.0
ENSG00000065911,0.0,2572.5728365032,0.0
ENSG00000170291,0.0,2543.1148384907733,0.0
ENSG00000164985,0.0,2149.6951897065856,0.0
ENSG00000231225,0.0,1970.8956584135053,0.0
ENSG00000093167,0.0,4188.988062179111,0.0
ENSG00000146674,0.0,9748.546354757838,0.0
ENSG00000151320,0.0,3025.3132108761047,0.0
ENSG00000176435,0.0,14382.967286654679,0.0
ENSG00000283196,0.0,1770.5092377898277,0.0
ENSG00000152284,0.0,2232.7887801431884,0.0
ENSG00000133110,0.0,4943.440399718956,0.0
ENSG00000138061,0.0,3767.911274100284,0.0
ENSG00000148700,0.0,2325.32843835882,0.0
ENSG00000148803,0.0,1897.716739372777,0.0
ENSG00000134202,0.0,4096.610925018992,0.0
ENSG00000163584,0.0,1744.9158445640815,0.0
ENSG00000124785,0.0,2940.223113524738,0.0
