gene_name,p,f,q
ENSG00000203396,4.543236172354436e-115,614.6037582441376,1.3000924630809453e-110
ENSG00000159692,4.321429513871384e-62,301.9788306935829,6.183101348447176e-58
ENSG00000087086,1.5487472379490845e-55,266.5504208290634,1.4772983653717002e-51
ENSG00000165478,3.727191856840547e-52,248.53831040389787,2.666433054383727e-48
ENSG00000240785,1.6533424411130974e-51,245.11240262264195,9.462409458978478e-48
ENSG00000152082,4.687621388630886e-50,237.44445669446563,2.235682894284357e-46
ENSG00000225630,1.2657450705815867e-49,235.17355361195882,5.174365848537526e-46
ENSG00000273686,6.705721402195669e-46,215.68987499478783,2.3986365455653908e-42
ENSG00000248923,6.232810542418843e-42,195.16538489807425,1.9817567386873067e-38
ENSG00000196656,3.4629128748851517e-40,186.2180737051603,9.90947148277135e-37
ENSG00000273673,2.884123031892448e-39,181.51616909997372,7.502914970966754e-36
ENSG00000243071,1.1635713868560144e-35,163.2248570481036,2.7747299005226424e-32
ENSG00000109472,6.275544886037617e-32,144.50458712664087,1.3813922496834803e-28
ENSG00000232368,7.762401527206534e-32,144.04407499574427,1.5866348721610155e-28
ENSG00000112493,1.0011470232015514e-31,143.49318846860982,1.9099215477290398e-28
ENSG00000236490,2.3199807796617165e-31,141.67495338514868,4.1492856244249795e-28
ENSG00000241678,1.264365560222827e-30,138.01278805608592,2.128299110078613e-27
ENSG00000237024,2.274322755700274e-28,126.85066842212336,3.6117507133332873e-25
ENSG00000213058,2.398073230127637e-28,126.73717436620213,3.6117507133332873e-25
ENSG00000226278,1.0953685649729618e-27,123.48684958281896,1.5672533427633135e-24
ENSG00000228501,1.568269979481146e-27,122.71991687658877,2.1370292253729748e-24
ENSG00000205940,3.570766198324617e-27,120.96300625635155,4.644592978693511e-24
ENSG00000256618,4.6130555318523055e-27,120.41655036973671,5.739443352151546e-24
ENSG00000225972,2.3590781369748759e-26,116.93901546844913,2.812807498653044e-23
ENSG00000234106,8.765765867815208e-26,114.14776665659588,1.0033646242936e-22
ENSG00000244921,3.899033739815612e-24,106.10631338239372,4.291336519175521e-21
ENSG00000213228,8.984062182962201e-24,104.34336785338733,9.52177494176468e-21
ENSG00000279392,2.7983854646709204e-23,101.947120377646,2.85994994489368e-20
ENSG00000227656,9.586471696696406e-23,99.35463129035936,9.459533588712564e-20
ENSG00000173272,1.3382358699528457e-22,98.65306965145646,1.2764985884856879e-19
ENSG00000266891,1.5474807414688279e-22,98.34764512887146,1.4284744805765153e-19
ENSG00000240854,4.524539602734734e-22,96.0940237615328,4.046069539745536e-19
ENSG00000237022,7.07966027301602e-22,95.1546384849485,6.139138132503831e-19
ENSG00000243844,1.310068234157441e-21,93.86432709700101,1.102615076136745e-18
ENSG00000168300,1.5421229928666312e-21,93.52261099093694,1.2608397589677576e-18
ENSG00000242675,1.8058247360347143e-21,93.19191777445894,1.435430017954705e-18
