gene_name,p,f,q
ENSG00000204525,4.090478277185367e-163,843.7827094691477,1.2441189680059293e-158
ENSG00000224320,5.198024947406536e-155,796.0021926922088,5.2699309591789926e-151
ENSG00000229215,5.198024947406536e-155,796.0021926922088,5.2699309591789926e-151
ENSG00000224608,2.0697036866701604e-105,516.6263210981156,1.573750940751823e-101
ENSG00000234745,4.3596108420161034e-88,424.1504451394789,2.651951275198396e-84
ENSG00000198744,5.144578818816394e-83,397.5591675795263,2.607872746238344e-79
ENSG00000206450,8.656145456396467e-83,396.3794605952405,3.761095200804265e-79
ENSG00000140264,9.7625328008731e-82,390.89188078674084,3.711592939231942e-78
ENSG00000228405,5.3969114915734736e-80,381.8245064054203,1.8238562557356356e-76
ENSG00000196811,9.378341430563202e-66,308.6784405830207,2.852422546105798e-62
ENSG00000224398,3.862585739742762e-65,305.55860174329524,1.0680049570388738e-61
ENSG00000123091,7.88620562095763e-65,303.9866029522538,1.998824533011886e-61
ENSG00000197747,3.2307764460914504e-63,295.8225386620929,7.558774277528575e-60
ENSG00000276061,3.721976074246573e-63,295.51174732381963,8.085993021300681e-60
ENSG00000276701,5.911945614671688e-63,294.49587554720614,1.198745505801596e-59
ENSG00000103363,1.558547726143715e-61,287.32204732255144,2.9627018181663182e-58
ENSG00000240342,8.70151200145312e-61,283.55815694385916,1.5568028677893923e-57
ENSG00000170906,1.4110281724383464e-60,282.50098423177764,2.3842456591506836e-57
ENSG00000122566,6.884961165122279e-60,279.03722093869624,1.1021373359852323e-56
ENSG00000164405,4.2343190576163536e-58,270.05409134896763,6.43934070687007e-55
ENSG00000198146,1.3130017030706162e-57,267.5906671755828,1.9016641332806092e-54
ENSG00000169020,2.8386148411683914e-57,265.9135037247826,3.924385017915301e-54
ENSG00000198712,4.6224412001073794e-55,254.8583625185076,6.112676047881128e-52
ENSG00000125995,1.4814143457981647e-54,252.33584490039533,1.8773840553104658e-51
ENSG00000186010,2.323981976748136e-53,246.38183080445634,2.8273564729117825e-50
ENSG00000240972,3.904438517498036e-53,245.2610006512846,4.567442211911645e-50
ENSG00000228349,1.9190202684886318e-51,236.860295736782,2.1617407950400643e-48
ENSG00000091317,2.0639718390227418e-51,236.7034631756557,2.2419894101384533e-48
ENSG00000108107,2.1632280845309978e-51,236.60230592549075,2.2687786962417346e-48
ENSG00000227656,4.290243325516459e-51,235.127977541963,4.3495916915194364e-48
ENSG00000172380,6.325383495953396e-51,234.2924034976075,6.206017388045889e-48
ENSG00000206452,8.878140679299005e-51,233.56292580280515,8.438395273777477e-48
